id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
550;1582 - 1998-2010;Caretta caretta;Tortuga Boba;11/09/2000;11/09/2000;2000;Septiembre;Otoño;Valleseco;NA;515;Valleseco;Valleseco, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;Si;Totalmente descompuesta.;NA;NA;NA
554;1559 - 1998-2010;Caretta caretta;Tortuga Boba;04/09/2000;04/09/2000;2000;Septiembre;Otoño;Muelle de Los Cristianos;NA;268;Muelle De Los Cristianos;Carretera a los Cristianos, 38627, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;No tiene nada.;NA;NA;NA
557;1532 - 1998-2010;Caretta caretta;Tortuga Boba;21/08/2000;21/08/2000;2000;Agosto;Verano;Candelaria;NA;53;Candelaria;Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Indeterminado;Indeterminado;No;Encontrada flotando a 1 milla frente a Punta Prieta, recogida en Cruz Roja de Candelaria.Juvenil;NA;NA;NA
558;1531 - 1998-2010;Caretta caretta;Tortuga Boba;21/08/2000;21/08/2000;2000;Agosto;Verano;Candelaria;NA;53;Candelaria;Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Indeterminado;Indeterminado;No;Encontrada flotando a 1 milla frente a Punta Prieta , recogida en Cruz Roja de Candelaria.Juvenil;NA;NA;NA
562;1477 - 1998-2010;Caretta caretta;Tortuga Boba;31/07/2000;31/07/2000;2000;Julio;Verano;Muelle de Los Cristianos;NA;268;Muelle De Los Cristianos;Carretera a los Cristianos, 38627, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Indeterminado;Indeterminado;No;NA;NA;NA;NA
565;1468 - 1998-2010;Caretta caretta;Tortuga Boba;28/07/2000;28/07/2000;2000;Julio;Verano;El Palmar;NA;102;El Palmar;El Palmar, Garafía, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;Si;La mitad posterior del caparazón destrozado.;NA;Caparazón;NA
568;1461 - 1998-2010;Caretta caretta;Tortuga Boba;26/07/2000;26/07/2000;2000;Julio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;No;Traslado a Tafira 27-07-00. Cortes y fractura de aleta detantera derecha;Varias lesiones;Aleta;NA
569;1460 - 1998-2010;Caretta caretta;Tortuga Boba;26/07/2000;26/07/2000;2000;Julio;Verano;Playa de San Juan;NA;326;Playa De San Juan;Playa de San Juan, Guía de Isora, Santa Cruz de Tenerife, Islas Canarias;Guía de Isora;38019;Indeterminado;Indeterminado;No;Problema en aleta delantera izda.;NA;Aleta;NA
570;1451 - 1998-2010;Caretta caretta;Tortuga Boba;24/07/2000;24/07/2000;2000;Julio;Verano;Punta del Hidalgo;NA;458;Punta Del Hidalgo;Punta del Hidalgo, San Cristóbal de La Laguna, Santa Cruz de Tenerife, Islas Canarias;San Cristóbal de La Laguna;38023;Indeterminado;Indeterminado;Si;Recogida muerta, descompuesta;NA;NA;Muerta
572;1425 - 1998-2010;Caretta caretta;Tortuga Boba;13/07/2000;13/07/2000;2000;Julio;Verano;Pto. Colón;NA;402;Pto. Colon;Centro Comercial Puerto Colón;Adeje;38001;Indeterminado;Indeterminado;Si;RECOGIDA MUERTA;NA;NA;Muerta
