nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
Tortuga Boba;3846 - actual;Pto. Deportivo San Miguél;33;35;28;33;5,5;f
Tortuga Boba;3835 - actual;Playas de Fañabé;23;26;20;23;2,2;f
Tortuga Boba;3802 - actual;Puerto de Radazúl;21;24;17,9;23;1,5;f
Tortuga Boba;3786 - actual;Puerto Colón;28,8;30;25,8;30;4;f
Tortuga Boba;3784 - actual;Playa Paraíso;23;25;20;23;2,1;f
Tortuga Boba;3782 - actual;Playas de Fañabé;22,5;25;19;23;2,2;f
Tortuga Boba;3756 - actual;Los Gigantes;47;49;53;66;35;f
Tortuga Boba;3426 - actual;El Porís;37;40;31;39;10,3;f
Tortuga Boba;3720 - actual;El Socorro;36,2;37;31,5;36;13,2;f
Tortuga Boba;3605 - actual;Fañabé;30;34;25;32;4,2;f
Tortuga Boba;3552 - actual;Taganana Playa del Roque;22,5;24;19;22;1,75;f
Tortuga Boba;3537 - actual;El Poris;34;39;28,5;36;5,8;f
Tortuga Boba;3503 - actual;Puerto colón;39,2;42;34,9;41;9,2;m
Tortuga Boba;3432 - actual;Playa de la Nea;52;57;46;56;19;m
Tortuga Boba;3488 - actual;Playa de Añaza;27,2;30;23,2;29;2,1;m
Tortuga Boba;3484 - actual;Puerto Colón;20,2;22;17,8;20;1,5;m
Tortuga Boba;3447 - actual;Los Gigantes;31;34;29;34;4,6;m
Tortuga Boba;3448 - actual;Tabaiba;46;50;41,5;50;14,5;m
Tortuga Boba;3456 - actual;Boca Cangrejo;47;50;39,5;49;14;m
Tortuga Boba;3457 - actual;Boca Cangrejo;33,5;37;29;38;8,5;m
Tortuga Boba;3475 - actual;Los Gigantes;28,9;32;26,7;31;4,7;m
Tortuga Boba;3476 - actual;Costas de Fañabé;20,8;22;17,2;20;1,4;m
Tortuga Boba;3477 - actual;Los Gigantes;34,1;38;31,8;38;6,9;m
Tortuga Boba;3483 - actual;Playas de Fañabé;20,5;22;18,5;20;1,4;m
Tortuga Boba;3410 - actual;Playas de Fañabé;35,8;38;30,8;37;7,3;m
Tortuga Boba;3405 - actual;Playas de Fañabé;34,5;37;31;38;7,4;m
Tortuga Boba;3383 - actual;Los Gigantes;16,5;19;14,5;17;710;m
Tortuga Boba;3340 - actual;Playa Punta Larga;41;45;0,36;0,43;11,5;m
Tortuga Boba;3312 - actual;Puerto Colón;17,5;20;15;19;0,96;m
Tortuga Boba;3302 - actual;Los Gigantes;18;20;15;20;0,972;m
Tortuga Boba;3291 - actual;Valleseco;45;50;41;49;17;m
Tortuga Boba;3290 - actual;Puerto Colón;18,5;21;16,2;20;1,075;m
Tortuga Boba;3253 - actual;Puerto Colón;40;50;40;48;14,3;m
Tortuga Boba;3220 - actual;Puerto Colón;33;37;29,5;35;5,2;m
Tortuga Boba;3181 - actual;Fañabé;43;46;37;44;12,3;m
Tortuga Boba;3163 - actual;Puerto Colón;30,5;32;27;32;4;m
Tortuga Boba;3147 - actual;La Punta;28,5;32;25,5;31;3,9;m
Tortuga Boba;3123 - actual;El Poris;42,8;48;38,8;47;10,8;m
Tortuga Boba;3121 - actual;Puerto Colón;17,5;22;20,1;20;0;m
Tortuga Boba;3120 - actual;Playa El Socorro;32,8;36;28,8;34;4,4;m
Tortuga Boba;3119 - actual;El Pozo;42,3;46;38;45;12,1;m
Tortuga Boba;3104 - actual;Muelle;17,5;20;15;18;0,945;m
Tortuga Boba;3032 - actual;Puerto Colón;40,2;44,5;35;43;10,3;m
Tortuga Boba;3016 - actual;Fañabé (2 millas);34,5;39;30;36;7,5;a
Tortuga Boba;3013 - actual;puerto Colón;21,8;23;18,5;22;2;a
Tortuga Boba;3010 - actual;Puerto Colón;29,5;35;27,2;31;0;a
Tortuga Boba;2956 - actual;Los Gigantes;22,8;26;19;23;2,2;a
Tortuga Boba;2902 - actual;Radazul (2 millas);30;33;26;34;4,9;a
Tortuga Boba;2891 - actual;Puerto Colón;31;34;28;34;6,4;a
Tortuga Boba;2856 - actual;Puertito;37,5;40;31;37;6,5;a
Tortuga Boba;2840 - actual;Los Gigantes (2 millas);37,5;42;33;40;9,2;a
Tortuga Boba;2822 - actual;Los Gigantes;37,5;41;34;40;9,5;a
Tortuga Boba;2819 - actual;Bco Masca;39,5;42;34;42;9,5;a
Tortuga Boba;2790 - actual;Playa de las Gaviotas;40;0;0;0;15;a
Tortuga Boba;2749 - actual;El Poris;19,5;21;16,5;20;0,85;a
Tortuga Boba;2432 - actual;Playa San Juan;29,5;33;24,5;30;3,7;a
Tortuga Boba;2694 - actual;Los Abrigos;39;42;33,5;41;8,8;a
Tortuga Boba;2678 - actual;Playa La Viuda;36;40;30,5;36;6,4;a
Tortuga Boba;2666 - actual;Puerto Colón;50,9;60;44;53;23;a
