id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
32;8706 - 1998-2010;Caretta caretta;Tortuga Boba;11/12/2009;11/12/2009;2009;Diciembre;Invierno;Muelle (Pto.de la Cruz);NA;262;Muelle (pto.de La Cruz);Carretera del Puerto de la Cruz, 38314, La Orotava, Santa Cruz de Tenerife, Islas Canarias;Orotava, La;38026;Indeterminado;Indeterminado;No;Descompuesta.;NA;NA;NA
33;8693 - 1998-2010;Caretta caretta;Tortuga Boba;25/11/2009;25/11/2009;2009;Noviembre;Otoño;El Cabezo (El Médano);NA;93;El Cabezo (el Medano);El Cabezo, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;Descompuesta.;NA;NA;NA
34;8658 - 1998-2010;Caretta caretta;Tortuga Boba;23/10/2009;23/10/2009;2009;Octubre;Otoño;Puertos de Santa Cruz Tenerife;NA;452;Puertos De Santa Cruz Tenerife;Puerto;Santa Cruz de Tenerife;38038;Otros;Otros;No;NA;NA;NA;NA
35;8646 - 1998-2010;Caretta caretta;Tortuga Boba;19/10/2009;19/10/2009;2009;Octubre;Otoño;Playa La Viuda - Güímar;GÜÍMAR;357;Playa La Viuda - Guimar;Playa La Viuda, Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Artes de pesca;Artes de pesca;No;Aleta delantera dcha. Necrosada;NA;Aleta;Necrosada
36;8643 - 1998-2010;Caretta caretta;Tortuga Boba;19/10/2009;19/10/2009;2009;Octubre;Otoño;Muelle;NA;259;Muelle;Travesía al Muelle, 38509, Candelaria, Santa Cruz de Tenerife, Islas Canarias;Candelaria;38011;Artes de pesca;Artes de pesca;No;Pequeño corte en el cuello (nada) bien;Cortes;Cuello;NA
37;8640 - 1998-2010;Caretta caretta;Tortuga Boba;11/10/2009;11/10/2009;2009;Octubre;Otoño;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Herida en la Aleta delantera Izquierda.;Herida;Aleta;NA
38;8639 - 1998-2010;Caretta caretta;Tortuga Boba;11/10/2009;11/10/2009;2009;Octubre;Otoño;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Nylon, en boca y ano.;NA;Boca;NA
39;8635 - 1998-2010;Caretta caretta;Tortuga Boba;05/10/2009;05/10/2009;2009;Octubre;Otoño;Puertito de Güimar;NA;415;Puertito De Guimar;Puertito de Güímar, Güímar, Santa Cruz de Tenerife, Islas Canarias;Güímar;38020;Artes de pesca;Artes de pesca;Si;Enmallamiento, recogida por Jaime Urióste, entregada al mismo 10/10/09.Muere con excrementos mucosos y verdes abundantes;Enredadas;NA;Muerta
40;8614 - 1998-2010;Caretta caretta;Tortuga Boba;23/09/2009;23/09/2009;2009;Septiembre;Otoño;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda, con cortes.entregada a Jaime Urióste 10 Octubre 09.;Cortes;Aleta;NA
41;8576 - 1998-2010;Caretta caretta;Tortuga Boba;14/09/2009;14/09/2009;2009;Septiembre;Otoño;El Porís de Abona;NA;112;El Poris De Abona;Poris de Abona, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Corte en aleta delantera derecha y cuello, tenía rafia por el cuerpo y boca.;Varias lesiones;Varias partes;NA
42;8573 - 1998-2010;Caretta caretta;Tortuga Boba;13/09/2009;13/09/2009;2009;Septiembre;Otoño;La Punta;NA;181;La Punta;La Punta, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda, necrosada, le falta la trasera izquierda. Enrredada con rafia, amputada 15 Septiembre 2009.;Varias lesiones;Aleta;Necrosada
43;8569 - 1998-2010;Caretta caretta;Tortuga Boba;12/09/2009;12/09/2009;2009;Septiembre;Otoño;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;No;Herida en la aleta delantera Izquierda, amputada 27 Octubre 09;Varias lesiones;Aleta;NA
44;8567 - 1998-2010;Caretta caretta;Tortuga Boba;12/09/2009;12/09/2009;2009;Septiembre;Otoño;Puertos de Santa Cruz de Tenerife;NA;451;Puertos De Santa Cruz De Tenerife;Puerto;Santa Cruz de Tenerife;38038;Artes de pesca;Artes de pesca;No;Aleta delantera derecha, necrosada Amputada 15 Septiembre 2009.;Amputación;Aleta;Necrosada
45;8566 - 1998-2010;Caretta caretta;Tortuga Boba;11/09/2009;11/09/2009;2009;Septiembre;Otoño;Puerto Colon;NA;423;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Aleta delantera derecha, necrosada. Amputada 15 Septiembre 2009;Amputación;Aleta;Necrosada
46;8565 - 1998-2010;Caretta caretta;Tortuga Boba;10/09/2009;10/09/2009;2009;Septiembre;Otoño;Muelle de Garachico;NA;266;Muelle De Garachico;Calle Garachico, 38729, San Andrés y Sauces, Santa Cruz de Tenerife, Islas Canarias;Garachico;38015;Artes de pesca;Artes de pesca;No;Aleta delantera derecha, necrosada. Amputada 15 Septiembre 2009;Amputación;Aleta;Necrosada
47;8564 - 1998-2010;Caretta caretta;Tortuga Boba;11/09/2009;11/09/2009;2009;Septiembre;Otoño;Puertito de Güimar;NA;415;Puertito De Guimar;Puertito de Güímar, Güímar, Santa Cruz de Tenerife, Islas Canarias;Güímar;38020;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda, necrosada, amputada 15 Septiembre 2009;Amputación;Aleta;Necrosada
48;8558 - 1998-2010;Caretta caretta;Tortuga Boba;09/09/2009;09/09/2009;2009;Septiembre;Otoño;El Médano;NA;100;El Medano;El Médano, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Artes de pesca;Artes de pesca;No;Aleta delantera izquierda, con corte e inflamación, amputada.;Varias lesiones;Aleta;Infección
49;8529 - 1998-2010;Caretta caretta;Tortuga Boba;31/08/2009;31/08/2009;2009;Agosto;Verano;Los Gigantes;NA;227;Los Gigantes;Los Gigantes;Santiago del Teide;38040;Artes de pesca;Artes de pesca;No;Pequeños cortes en las aletas delanteras, bien.;Cortes;Aleta;NA
50;8527 - 1998-2010;Caretta caretta;Tortuga Boba;31/08/2009;31/08/2009;2009;Agosto;Verano;Puerto Colón;NA;428;Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Artes de pesca;Artes de pesca;No;Corte en Aleta delantera derecha, (necrosada). Avisar para la suelta.;Cortes;Aleta;Necrosada
