Fecha;Especie;Nombre vulgar;Nº Ficha;Paraje;Causa;Muerte;Mun. recogida;Observaciones;Causa2;id_addr;address2
15/07/2013;Caretta caretta;Tortuga Boba;2288 - actual;Los Gigantes (2 millas);Debilidad agotamiento;No;SANTIAGO DEL TEIDE;790 gr. La mas pequeñita que ha entrado;Debilidad agotamiento;229;Los Gigantes (2 Millas)
14/07/2013;Caretta caretta;Tortuga Boba;2276 - actual;Los Gigantes;Enfermedad;No;SANTIAGO DEL TEIDE;Infección en la cloaca;Enfermedad;227;Los Gigantes
13/07/2013;Caretta caretta;Tortuga Boba;2273 - actual;Caletillas;Artes de pesca;No;CANDELARIA;Cortes en las aletas por enmallamiento, enredada en una red;Artes de pesca;48;Caletillas
08/07/2013;Caretta caretta;Tortuga Boba;2256 - actual;Puerto Colón;Enfermedad;No;ADEJE;Con musgo, flota;Enfermedad;428;Puerto Colon
07/07/2013;Caretta caretta;Tortuga Boba;2251 - actual;Radazul (7 millas);Enfermedad;No;EL ROSARIO;percebes y musgos en cuello, aletas y caparazón;Enfermedad;472;Radazul (7 Millas)
28/06/2013;Caretta caretta;Tortuga Boba;2203 - actual;Puerto colón;Debilidad agotamiento;No;ADEJE;Liberada en la caleta de Interian;Debilidad agotamiento;427;Puerto Colon
19/06/2013;Caretta caretta;Tortuga Boba;2157 - actual;Costa Adeje;Artes de pesca;No;ADEJE;Corte en aleta delantera izda;Artes de pesca;74;Costa Adeje
14/06/2013;Caretta caretta;Tortuga Boba;2134 - actual;Playa Grande;Indeterminado;No;ARICO;Descompuesta,;Indeterminado;344;Playa Grande
14/06/2013;Caretta caretta;Tortuga Boba;2131 - actual;Puerto deportivo;Artes de pesca;No;GÜÍMAR;Heridas por enmallamiento en cuello y aletas delanteras, Flaca;Artes de pesca;445;Puerto Deportivo
12/06/2013;Caretta caretta;Tortuga Boba;2113 - actual;Las Galletas (a 2 mil.l);Artes de pesca;No;ARONA;Enredada en Nylon, pequeños cortes en las aletas,;Artes de pesca;204;Las Galletas (a 2 Mil.l)
06/06/2013;Caretta caretta;Tortuga Boba;2098 - actual;Tabaiba;Debilidad agotamiento;No;EL ROSARIO;le falta la aleta delantera izda.;Debilidad agotamiento;486;Tabaiba
04/06/2013;Caretta caretta;Tortuga Boba;2089 - actual;Los Roques;Artes de pesca;Si;FASNIA;cable acerado con anzuelo en esófago, se opera el 5 de junio;Artes de pesca;234;Los Roques
03/06/2013;Caretta caretta;Tortuga Boba;2088 - actual;Playa Paraíso;Artes de pesca;No;ADEJE;NA;Artes de pesca;369;Playa Paraiso
07/09/2016;Caretta caretta;Tortuga Boba;5935 - actual;Puerto Colón;Artes de pesca;No;ADEJE;Corte en aletas delantera y traseras. Analítica. Liberación en alta mar. Embarcación Atlantic Eco Experience;Artes de pesca;428;Puerto Colon
18/08/2016;Caretta caretta;Tortuga Boba;5870 - actual;El Poris;Otros;No;ARICO;Ahogada, enrollada en cabos y boyas, en avanzado estado de putrefacción;Otros;107;El Poris
12/07/2016;Caretta caretta;Tortuga Boba;5624 - actual;Tena (Playa La Bellena);Otros;No;BUENAVISTA DEL NORTE;Flotaba a la deriva. Analítica. Protuberancia en el caparazón. Liberación en alta mar (Atlantic eco experience). Info anilla: C;Otros;502;Tena (playa La Bellena)
14/06/2016;Caretta caretta;Tortuga Boba;5410 - actual;Puerto Colón;Otros;No;ADEJE;capturadas para extracción de sangre;Otros;428;Puerto Colon
13/06/2016;Caretta caretta;Tortuga Boba;5404 - actual;Las Chafiras;Artes de pesca;Si;NA;Corte en aleta delantera derecha.;Artes de pesca;197;Las Chafiras
